Model,1,3,5,10,15,20,25,30,35,40,45,50
akumar33/ManuBERT,0.100000,0.153907,0.187891,0.215583,0.215583,0.226836,0.249865,0.259734,0.287184,0.321518,0.321518,0.321518
BAAI/bge-m3,0.200000,0.193856,0.224331,0.290745,0.290745,0.316226,0.347080,0.374457,0.374457,0.374457,0.374457,0.374457
colbert-ir/colbertv2.0,0.100000,0.085613,0.101443,0.148371,0.209803,0.235366,0.267024,0.286655,0.286655,0.295663,0.295663,0.295663
intfloat/multilingual-e5-large,0.100000,0.137851,0.200523,0.280375,0.293465,0.315766,0.355235,0.355235,0.355235,0.355235,0.355235,0.355235
nvidia/llama-embed-nemotron-8b,0.200000,0.266410,0.301853,0.337912,0.362605,0.395992,0.404506,0.423740,0.423740,0.423740,0.423740,0.423740
text-embedding-3-large,0.300000,0.199166,0.291128,0.326302,0.379160,0.390414,0.409164,0.409164,0.418467,0.418467,0.418467,0.418467
text-embedding-3-small,0.300000,0.193021,0.263918,0.291048,0.332719,0.366106,0.387993,0.387993,0.387993,0.397001,0.397001,0.397001
Qwen/Qwen3-embedding-8B,0.300000,0.185828,0.227337,0.289593,0.351044,0.383996,0.392403,0.392403,0.392403,0.392403,0.392403,0.392403
LightOnAI/LateOn-Code,0.100000,0.206979,0.202001,0.246970,0.314591,0.314591,0.314591,0.324063,0.353102,0.362110,0.362110,0.362110
voyageai/voyage-4-nano,0.300000,0.231707,0.250223,0.265028,0.293038,0.329564,0.329564,0.367732,0.376956,0.384450,0.384450,0.384450
voyage-code-3,0.500000,0.340784,0.389413,0.424398,0.479599,0.488631,0.488631,0.498501,0.498501,0.498501,0.498501,0.498501
voyage-4,0.500000,0.293021,0.341650,0.356455,0.380198,0.408592,0.429489,0.448713,0.456386,0.456386,0.456386,0.456386
Qwen/Qwen3-embedding-0.6B,0.200000,0.131707,0.158113,0.217270,0.286407,0.319170,0.347917,0.347917,0.347917,0.347917,0.347917,0.347917
BM25,0.200000,0.229608,0.224630,0.224630,0.249638,0.249638,0.258392,0.287083,0.314769,0.355875,0.355875,0.355875
